256.4,0.19777,1.929,0.19785,1.9299,0.18387,1.9616,0.18383,1.9619
256.5,0.19771,1.9288,0.19778,1.9296,0.18379,1.9614,0.18375,1.9617
256.6,0.19764,1.9285,0.19771,1.9294,0.18371,1.9612,0.18366,1.9615
256.7,0.19757,1.9282,0.19764,1.9291,0.18362,1.961,0.18358,1.9613
256.8,0.1975,1.928,0.19757,1.9288,0.18354,1.9608,0.1835,1.9611
256.9,0.19743,1.9277,0.19751,1.9286,0.18346,1.9606,0.18341,1.9609
257,0.19736,1.9274,0.19744,1.9283,0.18337,1.9604,0.18333,1.9607
257.1,0.19729,1.9271,0.19737,1.928,0.18329,1.9602,0.18324,1.9605
257.2,0.19723,1.9269,0.1973,1.9277,0.1832,1.96,0.18316,1.9603
257.3,0.19716,1.9266,0.19723,1.9275,0.18312,1.9598,0.18307,1.9601
257.4,0.19709,1.9263,0.19716,1.9272,0.18303,1.9596,0.18299,1.9599
257.5,0.19702,1.926,0.19709,1.9269,0.18295,1.9594,0.1829,1.9597
257.6,0.19695,1.9258,0.19702,1.9267,0.18286,1.9592,0.18282,1.9595
257.7,0.19688,1.9255,0.19695,1.9264,0.18278,1.959,0.18273,1.9593
257.8,0.19681,1.9252,0.19688,1.9261,0.18269,1.9588,0.18265,1.9591
257.9,0.19674,1.925,0.19682,1.9259,0.18261,1.9586,0.18256,1.9589
258,0.19667,1.9247,0.19675,1.9256,0.18252,1.9584,0.18248,1.9587
258.1,0.1966,1.9244,0.19668,1.9253,0.18244,1.9582,0.18239,1.9585
258.2,0.19653,1.9241,0.19661,1.925,0.18235,1.958,0.18231,1.9583
258.3,0.19646,1.9239,0.19654,1.9248,0.18226,1.9578,0.18222,1.9581
258.4,0.19639,1.9236,0.19647,1.9245,0.18218,1.9576,0.18214,1.9579
258.5,0.19632,1.9233,0.1964,1.9242,0.18209,1.9574,0.18205,1.9577
258.6,0.19625,1.9231,0.19633,1.924,0.18201,1.9573,0.18196,1.9575
258.7,0.19618,1.9228,0.19626,1.9237,0.18192,1.9571,0.18188,1.9573
258.8,0.19611,1.9225,0.19619,1.9234,0.18184,1.9569,0.18179,1.9572
258.9,0.19604,1.9222,0.19612,1.9232,0.18175,1.9567,0.18171,1.957
259,0.19597,1.922,0.19605,1.9229,0.18167,1.9565,0.18162,1.9568
259.1,0.1959,1.9217,0.19598,1.9226,0.18158,1.9563,0.18154,1.9566
259.2,0.19583,1.9214,0.19591,1.9224,0.1815,1.9561,0.18145,1.9564
259.3,0.19576,1.9212,0.19584,1.9221,0.18141,1.9559,0.18137,1.9562
259.4,0.19569,1.9209,0.19577,1.9218,0.18132,1.9557,0.18128,1.956
259.5,0.19562,1.9206,0.1957,1.9216,0.18124,1.9555,0.18119,1.9558
259.6,0.19555,1.9204,0.19563,1.9213,0.18115,1.9553,0.18111,1.9556
259.7,0.19548,1.9201,0.19556,1.921,0.18107,1.9551,0.18102,1.9554
259.8,0.19541,1.9198,0.19549,1.9208,0.18098,1.9549,0.18094,1.9552
259.9,0.19534,1.9196,0.19542,1.9205,0.18089,1.9547,0.18085,1.955
260,0.19527,1.9193,0.19535,1.9202,0.18081,1.9546,0.18076,1.9549
260.1,0.1952,1.919,0.19528,1.92,0.18072,1.9544,0.18068,1.9547
260.2,0.19513,1.9188,0.19521,1.9197,0.18064,1.9542,0.18059,1.9545
260.3,0.19506,1.9185,0.19514,1.9194,0.18055,1.954,0.18051,1.9543
260.4,0.19499,1.9182,0.19507,1.9192,0.18046,1.9538,0.18042,1.9541
260.5,0.19492,1.918,0.195,1.9189,0.18038,1.9536,0.18033,1.9539
